,time,measurement,value
5377,1646169224.4155984,control_command,"[0.0, 0.0]"
5378,1646169224.4347851,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.020112991333008]"
5379,1646169224.4347851,control_command,"[0.0, 0.0]"
5380,1646169224.4544635,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.020112991333008]"
5381,1646169224.4544635,control_command,"[0.0, 0.0]"
5382,1646169224.4750407,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.020112991333008]"
5383,1646169224.4750407,control_command,"[0.0, 0.0]"
5384,1646169224.495402,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0199637413024902]"
5385,1646169224.495402,control_command,"[0.0, 0.0]"
5386,1646169224.5155907,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019792318344116]"
5387,1646169224.5155907,control_command,"[0.0, 0.0]"
5388,1646169224.5350015,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019792318344116]"
5389,1646169224.5350015,control_command,"[0.0, 0.0]"
5390,1646169224.5552385,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019792318344116]"
5391,1646169224.5552385,control_command,"[0.0, 0.0]"
5392,1646169224.574819,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019900321960449]"
5393,1646169224.574819,control_command,"[0.0, 0.0]"
5394,1646169224.5933654,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.020085096359253]"
5395,1646169224.5933654,control_command,"[0.0, 0.0]"
5396,1646169224.6133032,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.020085096359253]"
5397,1646169224.6133032,control_command,"[0.0, 0.0]"
5398,1646169224.6333098,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.020085096359253]"
5399,1646169224.6333098,control_command,"[0.0, 0.0]"
5400,1646169224.653359,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0199637413024902]"
5401,1646169224.653359,control_command,"[0.0, 0.0]"
5402,1646169224.675245,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199103355407715]"
5403,1646169224.675245,control_command,"[0.0, 0.0]"
5404,1646169224.6952188,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199103355407715]"
5405,1646169224.6952188,control_command,"[0.0, 0.0]"
5406,1646169224.7147672,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199103355407715]"
5407,1646169224.7147672,control_command,"[0.0, 0.0]"
5408,1646169224.7345073,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019937753677368]"
5409,1646169224.7345073,control_command,"[0.0, 0.0]"
5410,1646169224.7555985,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019937753677368]"
5411,1646169224.7555985,control_command,"[0.0, 0.0]"
5412,1646169224.7744725,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0197861194610596]"
5413,1646169224.7744725,control_command,"[0.0, 0.0]"
5414,1646169224.7934482,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0197861194610596]"
5415,1646169224.7934482,control_command,"[0.0, 0.0]"
5416,1646169224.8134873,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0197861194610596]"
5417,1646169224.8134873,control_command,"[0.0, 0.0]"
5418,1646169224.8334165,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019902229309082]"
5419,1646169224.8334165,control_command,"[0.0, 0.0]"
5420,1646169224.8533895,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200412273406982]"
5421,1646169224.8533895,control_command,"[0.0, 0.0]"
5422,1646169224.8732927,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200412273406982]"
5423,1646169224.8732927,control_command,"[0.0, 0.0]"
5424,1646169224.8934152,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200412273406982]"
5425,1646169224.8934152,control_command,"[0.0, 0.0]"
5426,1646169224.9133892,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0199432373046875]"
5427,1646169224.9133892,control_command,"[0.0, 0.0]"
5428,1646169224.9335032,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019803524017334]"
5429,1646169224.9335032,control_command,"[0.0, 0.0]"
5430,1646169224.9534276,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019803524017334]"
5431,1646169224.9534276,control_command,"[0.0, 0.0]"
5432,1646169224.9732716,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019803524017334]"
5433,1646169224.9732716,control_command,"[0.0, 0.0]"
5434,1646169224.9935143,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019939422607422]"
5435,1646169224.9935143,control_command,"[0.0, 0.0]"
5436,1646169225.0146859,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019939422607422]"
5437,1646169225.0146859,control_command,"[0.0, 0.0]"
5438,1646169225.035015,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0197343826293945]"
5439,1646169225.035015,control_command,"[0.0, 0.0]"
5440,1646169225.05496,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0197343826293945]"
5441,1646169225.05496,control_command,"[0.0, 0.0]"
5442,1646169225.0751626,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0197343826293945]"
5443,1646169225.0751626,control_command,"[0.0, 0.0]"
5444,1646169225.0949767,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0198869705200195]"
5445,1646169225.0949767,control_command,"[0.0, 0.0]"
5446,1646169225.1149151,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0200493335723877]"
5447,1646169225.1149151,control_command,"[0.0, 0.0]"
5448,1646169225.1356745,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0200493335723877]"
5449,1646169225.1356745,control_command,"[0.0, 0.0]"
5450,1646169225.154852,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0200493335723877]"
5451,1646169225.154852,control_command,"[0.0, 0.0]"
5452,1646169225.1748176,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0199413299560547]"
5453,1646169225.1748176,control_command,"[0.0, 0.0]"
5454,1646169225.194913,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019850730895996]"
5455,1646169225.194913,control_command,"[0.0, 0.0]"
5456,1646169225.2150185,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019850730895996]"
5457,1646169225.2150185,control_command,"[0.0, 0.0]"
5458,1646169225.233382,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019850730895996]"
5459,1646169225.233382,control_command,"[0.0, 0.0]"
5460,1646169225.2534075,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019920825958252]"
5461,1646169225.2534075,control_command,"[0.0, 0.0]"
5462,1646169225.273366,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019958972930908]"
5463,1646169225.273366,control_command,"[0.0, 0.0]"
5464,1646169225.2933762,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019958972930908]"
5465,1646169225.2933762,control_command,"[0.0, 0.0]"
5466,1646169225.3133683,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019958972930908]"
5467,1646169225.3133683,control_command,"[0.0, 0.0]"
5468,1646169225.33343,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019930601119995]"
5469,1646169225.33343,control_command,"[0.0, 0.0]"
5470,1646169225.3533933,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0197410583496094]"
5471,1646169225.3533933,control_command,"[0.0, 0.0]"
5472,1646169225.3733838,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0197410583496094]"
5473,1646169225.3733838,control_command,"[0.0, 0.0]"
5474,1646169225.393467,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0197410583496094]"
5475,1646169225.393467,control_command,"[0.0, 0.0]"
5476,1646169225.4134297,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.01990008354187]"
5477,1646169225.4134297,control_command,"[0.0, 0.0]"
5478,1646169225.4350965,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.02010440826416]"
5479,1646169225.4350965,control_command,"[0.0, 0.0]"
5480,1646169225.454547,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.02010440826416]"
5481,1646169225.454547,control_command,"[0.0, 0.0]"
5482,1646169225.4745097,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.02010440826416]"
5483,1646169225.4745097,control_command,"[0.0, 0.0]"
5484,1646169225.4945598,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019993782043457]"
5485,1646169225.4945598,control_command,"[0.0, 0.0]"
5486,1646169225.5149252,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019786834716797]"
5487,1646169225.5149252,control_command,"[0.0, 0.0]"
5488,1646169225.5349905,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019786834716797]"
5489,1646169225.5349905,control_command,"[0.0, 0.0]"
5490,1646169225.5548868,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019786834716797]"
5491,1646169225.5548868,control_command,"[0.0, 0.0]"
5492,1646169225.574933,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199084281921387]"
5493,1646169225.574933,control_command,"[0.0, 0.0]"
5494,1646169225.5950408,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019867420196533]"
5495,1646169225.5950408,control_command,"[0.0, 0.0]"
5496,1646169225.6149116,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019867420196533]"
5497,1646169225.6149116,control_command,"[0.0, 0.0]"
5498,1646169225.6346974,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019867420196533]"
5499,1646169225.6346974,control_command,"[0.0, 0.0]"
5500,1646169225.654804,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019935131072998]"
5501,1646169225.654804,control_command,"[0.0, 0.0]"
5502,1646169225.6746788,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019869327545166]"
5503,1646169225.6746788,control_command,"[0.0, 0.0]"
5504,1646169225.6948307,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019869327545166]"
5505,1646169225.6948307,control_command,"[0.0, 0.0]"
5506,1646169225.7147894,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019869327545166]"
5507,1646169225.7147894,control_command,"[0.0, 0.0]"
5508,1646169225.7346637,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199012756347656]"
5509,1646169225.7346637,control_command,"[0.0, 0.0]"
5510,1646169225.7547855,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0198678970336914]"
5511,1646169225.7547855,control_command,"[0.0, 0.0]"
5512,1646169225.7746646,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0198678970336914]"
5513,1646169225.7746646,control_command,"[0.0, 0.0]"
5514,1646169225.7948256,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0198678970336914]"
5515,1646169225.7948256,control_command,"[0.0, 0.0]"
5516,1646169225.8147,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199031829833984]"
5517,1646169225.8147,control_command,"[0.0, 0.0]"
5518,1646169225.834631,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199031829833984]"
5519,1646169225.834631,control_command,"[0.0, 0.0]"
5520,1646169225.8546023,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199031829833984]"
